index,disease_name,supplement name,supplement image,buy link
30,Tomato___Early_blight,NATIVO FUNGICIDE,https://m.media-amazon.com/images/I/61iM8kyAJML._SL1500_.jpg,https://www.amazon.in/Bayer-Nativo-Systemic-Fungicide-Granules/dp/B0CD7DNDDF?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A1ZSKCLHK592D5&th=1
31,Tomato___Late_blight,ACROBAT FUNGICIDE,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRpQmIM9QZkFI43PPlHVFaSlGdrdMP8LFHXAo9b_OGOQCi3R6G-SsqnCXFR4CU9bVAcyuBGTrQRAkRrU9fm-1TGeXg9PrsB&usqp=CAE,https://www.bighaat.com/products/acrobat-fungicide?variant=31177935519767&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
32,Tomato___Leaf_Mold,Virus Special (Set of Immuno 1 ltr + Enviro 1 ltr),https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQfgH6lswqhV2hUhqZwEfgQBU1eUP1GCvETxg_a3JFOERS2tc80k8gNMbHM_XxReblck1T7tR95X8Qojdj1k0yAyvhmCZHvkFWaT_L-a8ofElEXerVJqvsF&usqp=CAE,https://agribegri.com/products/virus-special-enviroimmuno-1-litre.php
33,Tomato___Septoria_leaf_spot,Roko Fungicide,https://agriplexindia.com/cdn/shop/files/Roko.jpg?v=1743241417,https://agriplexindia.com/products/biostadt-roko-fungicide?variant=45377500119334&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOooM24w3nH6Agb8y-y4S4qNoKkTv0CjQOHScV1di9I6xeXEA16BTfzM
34,Tomato___Spider_mites Two-spotted_spider_mite,OMITE INSECTICIDE,https://cdn.dotpe.in/longtail/store-items/6792607/cHTWKctm.png,https://www.kisancenter.in/product/26318072/Dhanuka-Omite-Insecticide--Propargite-57--EC-?srsltid=AfmBOoodv0qqlB8dmEPSwzrWQujvYe2EJfUxmoTAw1jM_y2zCDBvAdfCNCw
35,Tomato___Target_Spot,Propi Propineb 70% WP Fungicide for Plants Diesese Control Pesticide,https://cdn.shopify.com/s/files/1/0722/2059/files/antracol-file-659.jpg?v=1737430916,https://www.bighaat.com/products/antracol?variant=14521365063&srsltid=AfmBOoo8s9QR0y_Wsmyix6pgUOhSq02HbQQUbLSWDHyRt9vFhjorH5rJAiE
36,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Syngenta Amistor Top Fungicide,https://cdn.shopify.com/s/files/1/0722/2059/files/amistar-top-fungicide-file-3948.webp?v=1737470611,https://www.bighaat.com/products/amistar-top-fungicide?variant=27947535925271&utm_source=Google&utm_medium=CPC&utm_campaign=18815455412&utm_adgroup=&utm_term=&creative=&device=c&devicemodel=&matchtype=&feeditemid=&targetid=&network=x&placement=&adposition=&GA_loc_interest_ms=&GA_loc_physical_ms=9062010&gad_source=1&gad_campaignid=18815493839&gbraid=0AAAAADhCwQKnrh5yYeubvaN0JPYhSkq0N&gclid=CjwKCAjw7fzDBhA7EiwAOqJkh6BKWW6njR6wA-hoadlqRMUfFumjoYlD2AgkmZOkP8j-loozHa0JvRoCD6UQAvD_BwE
37,Tomato___Tomato_mosaic_virus,V Bind Viral Disease Special,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcRmHRAqOUGXt76NPfOMXrUVRvDt8gRYd3-HTexGYI0d4PNmDuLXbfTchIRipVD-hx1wob7hHyVTbmyS85fTcADpBUMezetO&usqp=CAE,https://agribegri.com/products/viricide-online-.php
38,Tomato___healthy,"Tomato Fertilizer Organic, for Home, Balcony, Terrace & Outdoor Gardening",https://casadeamor.in/cdn/shop/files/tomatofertilizer-900gm.jpg?v=1707295552&width=600,https://www.casagardenshop.com/products/tomato-fertilizer-for-home-terrace-outdoor-gardening?variant=32106353131619&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_campaign=gs-2020-02-08&utm_source=google&utm_medium=smart_campaign

